state_code,rto,lat,lng
TN,THOOTHUKUDI RTO - TN69,8.803289,78.1254333
TN,THURAIYUR UO - TN586,11.1518913,78.5957143
TN,TINDIVANAM RTO - TN571,12.1923632,79.6841038
TN,TIRUCHENGODE RTO - TN34,11.3630985,77.8587556
TN,TIRUCHI,10.7904833,78.7046725
TN,TIRUCHI RTO - TN45,10.7904833,78.7046725
TN,TIRUNELVELI RTO - TN72,8.7097984,77.7260403
TN,TIRUPPUR,11.1237737,77.31096459999999
TN,TIRUVALLUR RTO - TN20,13.1415468,79.8926372
TN,TIRUVANNAMALAI RTO - TN25,12.2687111,79.0741771
TN,TIRUVARUR RTO - TN50,10.7812555,79.6175396
TN,TIRUVERANBUR UO - TN583,10.7850922,78.77502249999999
TN,UDUMALPET RTO - TN581,10.5676451,77.24282389999999
TN,ULUNDURPET RTO - TN577,11.6913973,79.2881233
TN,USILAMPATTI UO - TN636,9.9649231,77.788508
TN,UTHAMAPALAYAM UO - TN601,9.806343600000002,77.3294827
TN,VADIPATTI UO - TN599,10.0843179,77.9610158
TN,VALAPPADI UO - TN613,11.6561908,78.40185579999999
TN,VALLIYUR UO - TN608,8.401361,77.61744829999999
TN,VALPARAI UO - TN633,10.3269734,76.9553967
TN,VANIYAMBADI RTO - TN515,12.6382303,78.60579229999999
TN,VEDACHANDUR UO - TN617,10.5311313,77.9476157
TN,VELLORE RTO - TN23,12.9327125,79.1566161
TN,VILUPPURAM RTO - TN32,11.9385851,79.48526930000001
TN,VIRUDHACHALAM UO - TN553,11.5160935,79.32661949999999
TN,VIRUDHUNAGAR RTO - TN67,9.5812219,77.9230779
